"Metabolite","1-Mock","2-Mock","3-Mock","1-Infection","2-Infection","3-Infection","4-Infection","5-Infection","6-Infection","7-Infection","8-Infection","9-Infection"
"3-phosphoglycerate",905351.3062,708082.1147,864828.5339,50098.70515,31054.61209,NA,23227.40192,3912.575791,21466.89957,42404.35332,NA,10432.98674
"adenosine ",352161.0639,433999.5766,415382.3325,NA,NA,NA,NA,NA,NA,NA,NA,NA
"adenosine-5'-monophosphate",656220.8105,2093143.939,2894615.211,NA,NA,NA,NA,NA,NA,NA,NA,NA
"carbonate ion",5900873.031,5855337.763,9219719.474,4888064.665,2714183.454,4043945.733,3384638.78,2795662.045,2953872.02,2452404.288,3785212.826,2812455.588
"citric acid",5168107.632,5379825.489,5534201.78,1282873.553,925155.5817,1256358.197,975842.5384,787422.2507,1066410.586,1019065.014,538921.4052,733273.8455
"creatinine",183841.3014,170276.871,376366.2142,NA,NA,NA,NA,NA,NA,NA,NA,NA
"D-glucose",67181802.93,69609059.58,72753870.99,67857036.96,66045097.78,69114708.93,64331894.95,53742639.83,70489842.28,44505029.21,40437780.04,55390712.4
"D-glucose-6-phosphate",306475.8061,279141.7716,395566.6659,NA,NA,NA,NA,NA,NA,NA,NA,NA
"dihydroxyacetone phosphate",127574.8196,309408.8618,174944.4559,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DL-isoleucine",16834884.34,18477897.01,19300167.53,6781174.871,5776907.959,2635743.911,6003173.783,3894128.181,6688695.585,3220397.993,2301276.365,4083444.928
"D-malic acid",8438746.368,7733772.889,8428486.226,680059.1208,376518.4071,756742.3748,613593.9754,408677.158,641924.6154,570957.1659,380583.9884,441206.8356
"D-mannitol",2817941.55,3189976.206,3237102.924,2086367.236,1894538.307,2293192.098,1947177.336,1365815.856,2160940.687,237224.845,910076.7818,1338598.8
"D-ribose-5-phosphate",460525.9355,715146.8942,764340.6217,NA,NA,NA,NA,NA,NA,NA,NA,NA
"D-threitol",863004.8622,5183097.457,1658392.956,895290.2645,750169.3686,1025052.819,855554.7285,630983.0664,947257.5479,522275.4458,374677.6059,595856.4959
"ethanolamine (NIST)",2586538.708,3033230.845,3507232.049,2190856.768,2299201.821,2351962.94,1901760.052,1447801.14,1310341.395,2331686.777,1617170.195,2150228.883
"fructose",10120212.8,11493922.28,11781230.95,8128152.374,7292830.931,9389553.164,7697320.419,5134320.429,8365547.934,4062310.1,3377266.673,5516926.336
"fumaric acid",2527598.026,3389988.393,3931707.624,304735.3707,581413.2207,450942.899,255675.275,434864.6208,259125.6926,490776.2338,519226.8345,251054.3393
"gluconic acid",188976.3141,225669.147,243853.7639,NA,NA,NA,NA,NA,NA,NA,NA,NA
"glycerol 1-phosphate",4311944.764,4594440.882,4954653.297,301289.6826,124028.1686,115176.3092,168250.0592,34186.6866,111220.1441,836377.5765,36013.99803,90134.63619
"glycine",17168841,17459090,17752930,2849719,2038768,1064101,2399328,1508255,2593725,2762132,1088093,1596017
"heptadecanoic acid",284276.8161,362879.9816,436459.241,75402.66989,121716.9921,161126.3728,117207.13,57045.63867,74570.74585,104627.9872,66213.91452,80140.98136
"hypotaurine",1898092.269,2151418.646,2129131.34,NA,NA,NA,NA,NA,NA,NA,NA,NA
"inositol phosphate",154551.837,178496.4008,232743.1687,NA,NA,NA,NA,NA,NA,NA,NA,NA
"L-(+) lactic acid",94448086.21,105438079.3,101902251.1,46728306.76,42879367.49,58209673.02,46519099.41,33595712.43,47506867.51,22959495.81,21723874.14,32137091.16
"L-alanine",13930453.65,16391195.29,31890731.89,1633715.869,4890661.702,1414561.148,1402902.604,1306348.398,2116285.19,488159.4238,994731.339,1340317.419
"L-cysteine",3119568.561,3018913.959,3354549.582,425907.1108,191960.9976,724962.2622,455601.6258,83179.82076,312816.3707,98302.41557,75835.71462,163458.3056
"L-dithiothreitol",502701.8468,325002.5612,424543.0756,890613.2659,158509.0813,10244517.79,6333902.089,384096.4307,194694.719,265373.2559,7680507.135,11780802.97
"L-glutamic acid",29303956.47,35293415.1,35350088.05,1741438.688,828469.7898,984626.2336,1097053.547,554224.7703,987543.647,1830851.908,178826.9193,479736.0664
"L-glutamine",2403214.566,3360042.79,3323918.883,431180.9399,389171.9835,676968.9341,403546.9217,311096.5351,427257.5549,360579.9858,207735.6538,401493.2721
"L-leucine",48996321,54754435,58340494,19191320,15891303,3074558,16999631,9416196,18916432,7644400,5305511,10571857
"L-phenylalanine",9037288.203,10557755.07,11011387.41,1931421.761,1302448.054,1839738.653,1481878.36,820287.9219,1771046.195,721060.2774,188623.7668,776232.2323
"L-pyroglutamic acid",80204640.94,83352810.87,85794126.72,32294876.32,3826096.653,32709883.52,28562398.05,16506580.04,2305624.001,3600504.957,1034665.857,1940059.784
"L-serine",8224164.499,9462095.281,10853116.49,3187665.838,2115798.884,1068788.961,2284726.715,1242833.568,2864449.822,1134069.346,455380.035,1072317.851
"L-threonine",19463997.36,21517054.71,22448014.46,6257253.518,4669507.579,3494198.723,5285154.135,3372253.499,5960046.285,3545059.463,1884420.194,3374029.218
"L-tyrosine",28707218,31508389,33107113,8516124,7085649,8363146,7009459,4013471,8179627,3945540,1611081,3954850
"L-tyrptophan",526405.1498,157917.6006,841646.3003,143537.3267,121579.8872,116611.326,84697.98898,131967.7949,174959.5896,111415.74,60164,109415.4149
"L-valine",15235674.1,17742407.74,19945552.58,6763254.587,6226265.274,1658948.817,6000024.78,3395207.675,6196904.159,3059057.325,2109654.809,3940780.533
"myo-inositol",85139808.86,87554172.13,91723921.79,8236284.323,4614733.071,5690040.542,6909445.766,3398104.46,5391647.467,11205861.88,2701168.273,4082122.422
"myristic acid",10126705.85,11377906.88,12985061.77,6380302.154,8625756.282,11473228.94,10327396.24,6949720.473,8256343.218,4731290.174,5861709.897,8145795.749
"oleamide (NIST)",7081549.594,7078213.186,6629633.962,5635706.421,7277893.81,8376717.529,2857086.146,177732.3475,5133449.279,2108998.812,4293358.594,5132430.164
"oleanitrile (NIST)",1704563.746,1980877.788,1821473.288,3785782.449,4091873.412,8609336.527,3885426.278,4280906.819,4203745.344,3940401.591,9473081.635,8310948.494
"oleic acid",332119.7575,339402.7027,397463.6875,285280.6717,282553.5306,325642.6904,227112.7127,255402.346,316843.2505,262980.9182,246093.1179,361059.0563
"palmitic acid",1856453.628,1920976.93,2111576.133,1387276.391,1372023.77,1857924.724,1378084.246,1208438.535,1258844.474,1154523.666,1159022.524,1376613.29
"pantothenic acid",551264.3716,645938.5964,714207.7135,227937.5076,249562.9607,202528.4111,221262.1639,138959.7885,194115.3383,125083.4885,66017.96808,138343.917
"phosphoric acid",79668372.85,86690367.83,118919180.9,29761647.7,26984481.26,36043147.13,29351697.46,18596329.71,25540934.65,16304106.13,19544424.79,13029481.13
"pyrophosphate",912095.9841,1100738.539,977437.8311,NA,NA,NA,NA,NA,NA,NA,NA,NA
"scyllo-inositol (NIST)",2440135.518,2526621.139,2780869.305,101668.2662,1608309.667,69078.54546,71746.21324,839798.911,1622734.022,151895.1038,442316.965,954878.3871
"stearic acid",2259451.983,2582749.181,2917815.658,1992964.353,1839464.872,2714866.299,1819770.385,1627387.209,1817777.551,1523465.381,1786494.324,1850448.814
"succinic acid",359900,337658,375802,297920,283906,398020,297251,200619,306682,253852,131702,141908
"urea",1079395.603,2115832.511,3132041.403,1347372.196,1055559.831,1549959.805,1231703.639,1019548.693,1439559.59,264376,305068.1929,775390.1092
"?-ketoglutaric acid",3020381.017,3025867.06,3020367.415,495263.145,335412.6353,559364.8921,343228.1081,333396.095,579432.8681,298778.9383,8129.491939,365759.7845
"Unknown 01",359530.5677,931496,1479096.338,139387.3008,352099.2949,404908.0926,279232.9084,242709.3495,478689.0546,312364.7392,213651.1526,528626.5268
"Unknown 02",2406934.971,4097409.076,8311984.597,176981.3465,NA,NA,6043.759738,1405.658326,31244.91927,171679.5098,NA,NA
"Unknown 03",2179478.05,2050931.351,1797972.759,2507912.367,1990957.726,783109.5503,2563032.515,2307463.97,2252467.749,1013012.301,1276592.269,1617123.498
"Unknown 04",1213980.425,1009033.907,1486449.472,766251.7955,391460.1812,653376.28,540753.691,427215.435,529326.0567,178629.5924,519148.1818,403670.4415
"Unknown 05",8864489.671,12444483.48,15951763.74,283033.8017,427374.2174,NA,131068.0224,NA,263328.9062,597086.7724,NA,NA
"Unknown 06",1715552.965,1290958.953,1519497.016,258629.8844,212313.4051,396528.7115,317158.4296,284405.2301,481000.0766,164118.0975,99900,108775.8107
"Unknown 07",3670802.976,4031967.46,4787663.471,481858.3411,98239.38883,542761.1366,120478.8905,263234.9002,188675.1178,174327.6475,305110.484,222730.2322
"Unknown 08",701588.8528,834993.8785,922063.0661,202905.0941,181320.4345,262285.1384,260686.2959,179205.8796,225699.918,109069.2383,130372.5905,60792.32482
"Unknown 09",148827.0709,311974.023,160919.704,251756.1685,141984.5582,240124.9103,136074.4078,109534.0236,281195.3621,99640.57482,148905.311,111447.3197
"Unknown 10",1169627.317,1307478.698,1060765.068,448047.8673,468694.5854,520869.2016,435858.2457,554715.4903,439132.4952,548028.3536,381164.7153,590153.1205
"Unknown 11",292183.4434,446093.5986,475584.4457,91531.66192,19967.48507,34626.82028,51924.25913,403.452463,23608.16018,8796.692624,NA,NA
"Unknown 12",175513.7093,228858.8743,340327.2177,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Unknown 13",333431.9127,467377.4582,505133.9321,326802.6007,182558.0616,273583.1042,249867.5212,140505.3059,317471.0851,128449.673,117525.9433,88614.98155
"Unknown 14",451348.8969,459862.9267,502421.5836,247558.3007,232205.9467,286060.2148,240798.0469,200739.5657,329074.9361,297041.9792,223591.1317,437367.8745
"Unknown 15",1187239.817,1422919.632,1435906.892,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Unknown 16",388879.3351,458188.7725,525232.3242,274985.5935,236995.7727,239897.7127,226649.3534,151286.7099,129086.0451,146250.917,67306.59244,188620.0874
"Unknown 17",6658313.311,8216090.315,8116241.378,1506051.974,1448507.746,1375612.665,1092846.804,276775.4488,1548257.835,201236.7695,93955.75983,314767.472
"Unknown 18",1138578.376,4898022.999,5032039.943,355003.4247,3313834.687,3845396.112,3462870.049,2389529.365,3652946.916,1824133.387,1496916.222,2357234.173
"Unknown 19",973352.9564,1159302.25,1350783.874,553498.4304,549462.0268,673186.4592,508967.0113,285647.0552,545534.2059,233695.0643,168660.0573,311386.0809
"Unknown 20",2309042.476,1210956.117,664835.9969,944514.9244,515320.7063,442828.3829,467837.5061,245307.6507,587492.4845,433799.5749,288302.895,373356.7389
"Unknown 21",1020575.011,1354243.722,1481362.796,2393682.997,2465256.153,2313708.565,2267144.586,1280722.531,2498756.321,685197.1186,684707.7549,1443814.135
"Unknown 22",327275.7557,263055.4393,458744.6284,135422.4922,89597.30603,5950.870644,31284.77371,6490.551471,22962.1348,113513.3734,23718.75333,27288.49795
"Unknown 23",334259.9359,362591.6977,444320.7943,294901.848,220331.5884,212557.6427,162895.3263,159891.9544,337431.9895,99877.73088,1826.509433,184388.7497
"Unknown 24",101491.2568,61142.51058,80427.12142,71676.7105,71901.65022,76070.66626,56510.62977,35365.18198,76098.69104,43562.48029,22211.92518,40228.37442
"Unknown 25",241722.2543,267397.6576,304498.9489,31830.7177,19919.52441,32137.42502,20256.57258,11070.04542,23313.12055,55676.50597,5842.325069,10785.02085
"Unknown 26",471975.5792,631470.1561,740356.0381,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Unknown 27",525459.4118,828881.2226,991059.9864,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Unknown 28",111603.8827,134960.0732,291141.5099,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Unknown 29",710927.4996,918295.7001,1347942.208,175117.6852,390455.755,50890.56721,274088.5662,67137.09184,256844.4336,15733.71273,1410.052332,NA
